city,state,population
Novato,California,54790
Smyrna,Georgia,54788
Lakewood,New Jersey,54679
Pocatello,Idaho,54592
Greenwood,Indiana,54564
Mount Prospect,Illinois,54552
Normal,Illinois,54534
Dublin,California,54523
Rosemead,California,54507
Highland,California,54490
Sarasota,Florida,54425
Carson City,Nevada,54412
Hacienda Heights,California,54033
Elyria,Ohio,53928
Colton,California,53856
Castle Rock,Colorado,53789
Euless,Texas,53675
Blue Springs,Missouri,53641
Wheaton,Illinois,53568
Doral,Florida,53426
Ankeny,Iowa,53413
Cathedral City,California,53268
Pensacola,Florida,53250
Richland,Washington,53227
Revere,Massachusetts,53165
Hoboken,New Jersey,53136
Lake Havasu City,Arizona,53058
Bellevue,Nebraska,52993
Bradenton,Florida,52985
Watsonville,California,52915
Yucaipa,California,52886
Kingsport,Tennessee,52871
Gilroy,California,52576
Burlington,North Carolina,52570
Delano,California,52538
West New York,New Jersey,52407
Levittown,Pennsylvania,52407
Elkhart,Indiana,52378
Stratford,Connecticut,52300
Perth Amboy,New Jersey,52265
Peabody,Massachusetts,52235
Florissant,Missouri,52218
Placentia,California,52168
La Crosse,Wisconsin,52140
Aspen Hill,Maryland,52028
Milford,Connecticut,52005
Oak Park,Illinois,51989
Harrisonburg,Virginia,51979
Albany,Oregon,51919
Palm Beach Gardens,Florida,51865
DeSoto,Texas,51854
Southaven,Mississippi,51816
Battle Creek,Michigan,51763
Commerce City,Colorado,51731
Hoffman Estates,Illinois,51727
Huntersville,North Carolina,51701
Minnetonka,Minnesota,51651
Casa Grande,Arizona,51571
Brookhaven,Georgia,51567
West Sacramento,California,51386
Catalina Foothills,Arizona,51329
Glendora,California,51285
Joplin,Missouri,51231
Wesley Chapel,Florida,51229
Lenexa,Kansas,51206
Irondequoit,New York,51135
Levittown,New York,51073
Palm Desert,California,51045
Pinellas Park,Florida,50946
Grand Island,Nebraska,50895
Enid,Oklahoma,50891
Lakewood,Ohio,50866
East Hartford,Connecticut,50834
Tigard,Oregon,50787
Kentwood,Michigan,50761
Apple Valley,Minnesota,50602
Plainfield,New Jersey,50578
Grapevine,Texas,50538
Coral Gables,Florida,50533
Caldwell,Idaho,50288
Rowland Heights,California,50281
Aliso Viejo,California,50219
Charleston,West Virginia,50210
Burien,Washington,50187
Edina,Minnesota,49976
North Bethesda,Maryland,49971
Saginaw,Michigan,49892
Troy,New York,49881
Country Club,Florida,49815
Bonita Springs,Florida,49807
Cerritos,California,49797
Wheaton,Maryland,49764
Ashburn,Virginia,49692
Poway,California,49675
Olympia,Washington,49608
Wilson,North Carolina,49558
Downers Grove,Illinois,49555
Logan,Utah,49539
Florin,California,49486
Galveston,Texas,49443
Leesburg,Virginia,49401
Monroe,Louisiana,49361
Cuyahoga Falls,Ohio,49353
Niagara Falls,New York,49180
Harrisburg,Pennsylvania,49160
La Mirada,California,49130
Methuen Town,Massachusetts,49043
Rancho Santa Margarita,California,49038
Severn,Maryland,49017
Cypress,California,48978
McLean,Virginia,48867
